review_text,review_posted_date,review_header,review_rating,review_author
The phone is faulty. do not buy this product. It heats up so fast so that we can’t even hold it in our hand. Return was not possible. Apple technical support is not helpful either,21 Jan 2019,Phone heating up so fast,1.0 ,SS
"This is my 4th IPhone X purchase all in used in family and bought first on launch day in India and last one in October 2018 but still and I have bought and used oneplus to pixel 2Xl along the period and while both those phone are good but I am 100 percent you won’t enjoy them and they won’t last and work as smooth as iPhone X , I bought this phone from 89k on launch till 62k in prime day sale after all discounts and I can say at 65 it’s awesome buy. I find the display best even better than smasung due to natural colours Samsung phone are very oversaturated even though they also use Samsung display a thing you realise when you send someone a pic before buying something and when you reach they realise Color look nothing like on there phone. Battery is good for me 6-7 screen on time but never enough but still it’s good compared to competition. This phone is made of glass hence I use skin and a case and I still prefer glass as I enjoy wireless charging. It’s the most premium looking peace of tech I own . This phone keeps getting faster with every update something no android can compete with. I will suggest you buy AirPods along with the phone an awesome experience together. XR is also good buy if you value camera over display.",20 Dec 2018,Best phone under 65k even in 2019,5.0 ,Honest Reviews
"The phone is simply awesome- The display, the smoothness, the feel in the hand is so premium. But what really annoys is lack of Fast charger and its cable is Cheap quality. Pricing is always an issue with apple. But the phone is really awesome. Accessories are on cheaper side quality wise. Needs protection to the most as any breakage will cost you a huge amount. One thing more- The packaging of the phone was pathetic. Didn't expect this from amazon. Cheap quality packing.",12 Oct 2018,Awesome phone with small disappointments,4.0 ,Ashish Gupta
Ear phone got off can talk only through speaker,15 Nov 2018,I phone x problem,1.0 ,Abhai KUmar Yadav
Touch not working properly. Apple care says talk to amazon. No resolution,26 Oct 2018,Touch not working,1.0 ,Gurpreet Chandok
"Apple has always been a coin with 2 sides, it has loyal followers who will swear by it and it has loyal critics who will feed of it. Now coming to the iPhone X. I will be speaking only about the phone and it’s features and not compare with other models. Pros- - Its truly a beautiful phone. The notch in the top is something I feel u will want to have once u start using it. - the build quality is amazing. It’s a premium phone from the get go. Once u open the box, it’s like opening a Pandora’s box, something truly befitting a flagship.(of course it’s an year old now) - the screen resolution is just crisp and jaw dropping. Unlike its predecessors, the screen is gorgeous. Colours are spot on, the True Tone display needs some time to get used to but later there’s no turning back to the normal mode. The colours, no matter the time of the day, sunlight , no light, moonlight, tube light or what ever, always great. -the camera is very good being a dual camera and all and the pictures are pretty good, although I am not a avid mobile photographer. -the size of the phone is just right. At least for me it seems a good fit. Although sometimes 2 hands are required for some tasks but overall one handed most of the time. - Face ID- this is where it gets tricky. The phone unlocks with Face ID or a passcode. Now I have tried this feature with a beard , dim lighting , night times and many possible scenarios, and I must say , it’s good. Although it’s takes a few milliseconds more in low lighting, but over all good. (PS NOTE- there is no finger print unlock !!!!!!!) - The phone is truly fast. Multitasking, heavy gaming, anything is like a walk in the park for the phone. It’s truly a beast with it processing speed. Doesn’t warm up even when doing multiple tasks or playing PUBG. You have to understand that apple uses its RAM in a different way, so 3gb RAM may seem little on paper but don’t let numbers fool you. Cons- - battery life - now the battery life for the average usage is good but for gaming and heavy usage I feel is a bit disappointing. Could have been better, but hey, that’s what power banks are there for. - headphone jack- this is truly frustrating sometimes!!!! I mean come on!!!!! Who will manufacture Bose or sony or beats headphones with a lighting cable!!!!!!!! U will have to carry the connector all the time or leave it attached to ur headphones all the time to avoid forgetting them in a hurry. These are just a few points I have noticed after using the phone for sometime, will update if I feel anything is needed.",29 Oct 2018,Truly a phone which will leave an impression,5.0 ,Syed
"This is my first iphone i was a long time android user but after using this iphone my views have been completely changed for androids after using ios or iphone i have realised that iphone is much better than android in terms of display,camera,speed the iphone works seamless i mean the speed is very good The battery is okay if you dont play games the battery will run for a whole day in a single charge 2-The camera is mind blowing 3- the phone processor speed is great Cons 1- the battery drains fast when you play games or if you keep bright display light then also battery will not be able to keep it for a whole day",16 Jan 2019,Great just great,5.0 ,KUNAL DOGRA
Apart from Faceid the best part is gesture control it’s easy and intuitive.,27 Jan 2019,GESTURE CONTROL,5.0 ,Amazon Customer
"The battery life was better than previous iphones but can't take the competition from other phone available in the market it gives you one day(15 hrs approx) backup with moderate usage, it catches scratch very easily specially on its metal rim, screen was awesome, sound is also superb, camera is not upto mark, too much heating issues after upgrading ios 12.1. Not a value for money. Too much expensive.",12 Dec 2018,Genuine review by heart,2.0 ,Sushant S.
Got at 68k,19 Oct 2018,Got at 68k,5.0 ,Amazon Customer
