review_text,review_posted_date,review_header,review_rating,review_author
"Best Phone Under 15k, Most of Plus Point is It's not Hybrid SIM Well Battery Drains Bit Quick but already got 3 updates so now it's Become better",11 Oct 2017,Best Phone Under 15k,5.0 ,Ramesh V
Good Mobile. Dual 4G Standby is not available. Handset Appearance is awesome Battery Backup is Fantastic Need Gear up the RAM Speed. Screen Shot Shortcut Button is not available at Notification Bar. Over all Mobile is Good.,25 Sep 2017,KillerNote Should have Dual 4G Standby.,4.0 ,vijaykumar g
"Yeah Lenovo k8 note is good phone under budget, tough competition to mi , Performance of the phone was very good, Battery backup was decent, Camera is also decent, Sound system was very clear (Dolby) 😍 . You will love music wen u hear with your headphones ,",19 Sep 2017,Value for money,4.0 ,Sudhakar
"After using this phone for a month or so, I realize that I actually downgraded from Lenovo K4 note to Lenovo K8 Note. Why is it that the newer versions of phones be deprecated with smart features existing in older phones ?? All the 'Feature phone' options from K4 are missing in K8 - that's pathetic. Inbetween acquisitions (Moto & Lenovo), why is that you want to change Lenovo phone UI to use the Moto ?? That's very disappointing. I'm a Lenovo fan for UI and I go for Lenovo phone. If I were Moto fan I would go for Moto phone. Moto UI is very rigid and no options to change the style. For ex. the Video files are displyed in list format, not a preview big images as in Lenovo K4. Please please Lenovo consider this. Now I'm planning to change phone to other. Levnovo can you please list out what all features have to taken out from K4 to K8 ?? This is very disappointing experience. You say the turbo charger, charge phone in few mins... but even after 1/2 hr of charging I see only 4-5 % increase at times !!",24 Nov 2018,Won't suggest Lenovo mobile...,2.0 ,Kiran Kumar
"I buy it on 22 January 2018 at Rs. 9,999.00 Really amazing phone at this price. overall performance is good. Selfie and Back camera is awesome front camera has flash. Value for money beats all other devices in this price range.",02 Mar 2018,Amazing product at this price,5.0 ,Bhagyashree Khot
A very worst product.. Phone system has be updated number of times but it still demanding for systems update. Also not a single app is running properly and automatically closed. I want to return this product.. Please help me Amazon..,27 May 2018,I want to return this product. It is not working properly.,1.0 ,2107AK
"One of the worst phone I ever used, giving so individual powerful parts Lenovo still couldn't give a combined powerful performance. Heats up like anything while charging or playing game, the heating is such high that the screen starts lagging. After Oreo update performance has found again a new low. Battery is is also poor when low battery alert comes at 15% it reaches to 0 in 2-3 minutes (yes just 2-3 minutes), after using this phone for 9 months sometime touch screen problem starts happening. At top left the screen got some yellow patches. Highly disappointed with Lenovo. Maybe my handset is faulty in one of hundred sets but this is all what I keep facing",04 Nov 2018,Worst mobile handset I used ever,2.0 ,brij patel
PLEASE DON'T BUY THIS LENOVO MOBILES IN THIS THE COMPANY REGULARLY PROVIDES THE UPDATES AND ALSO GIVE SUCH UPDATES THAT AFTER THE GUARANTEE PERIOD IF YOU UPDATE THEN THE PHONE WILL GET DAMAGE IN SUCH AS WAY THAT THE SERVICE CENTER WILL GIVE US THE REASON THAT YOU PHONE IS DAMAGE BY WATER. I HAD FACED THIS PROBLEM EXACTLY AFTER A YEAR EVEN AFTER CONTACTING THE COMPANY DIRECTLY THEY DO NOT ACCEPT INSPITE THE INSTRUMENT IS CLEAN AND THERE IS NO SIGN OF DAMAGE THEY ARE SAYING IT IT IS DAMAGE BY WATER AND NEED TO CHANGE THE MOTHER BOARD AND THE COST IS EQUAL TO THE COST OF NEW MOBILE. THAT IS ALSO THEY ARE GIVING AT CONCESSIONAL RATES. SO I WOULD SUGGEST NOT TO BUY THE LENOVO PRODUCTS.,20 Jan 2019,COMPANY SERVICE IS WORST AND ALL SERVICE CENTERES ARE GUIDED HOW TO CHEAT CUSTOMERS,1.0 ,rajesh ganeriwal
I had used Lenovo Vibe phone in the past and i was really impressed with that product. but K8 Note has broke all my expectation. I am really disappointed and can't return as return date got closed in 10 days. I was under impression of 1 month return policy :( 1. Cast feature is not working. 2. headphone plug works sometime but if you unplugged it stop working again. 3. if you watch anything long time on your phone you get strain in eyes which is really not good.,30 Sep 2018,Not a good product,1.0 ,Rauf
"This is the most amazing phone I've seen in this price range!! It should be more costly but it's not! It's totally cheap. It's camera, performance, screen quality, picture quality, sound clarity is amazing and too good to be true! Trust me I'm using this phone since a years now, and it works totally fine till now, it has given me no problems what so ever! This is the first phone having decca core (10 core) processer. So great for multitasking and gaming! with Dolby Atmos for amazing clarity and surround sound! Which is great for watching movies, gaming, listening to your favorite music, etc. In short, best bank for your buck!",31 Jan 2019,Very happy! Amazing product Lenovo!💛,5.0 ,Harsh Ranadive
"Writing this review after 1year of purchase. Pros: 1. 5.5 inch full screen 2. 4000 mah battery 3. Decent touch screen response Cons: 1. Although they say it as 10core processor, 4gb ram. I see device gets heated while playing PUBG game. And screen frame rate nd resolution little low while playing game. But game doesn't stuck much anyways 2. Stock Android is one benefit for device being faster in response. At same time lesser customization and also not much utility apps available out of box , apart from Android one's 3. At times my home screen gadget clock time don't get updated. It's a clear bad bug. Yet times I was mistaken watching time on my device.",22 Sep 2018,Ok purchase. Can always look for alternatives,3.0 ,manikanta masetti
