review_text,review_posted_date,review_header,review_rating,review_author
"5A is far better than this. Full screen display is a bogus thing. No remote control for AC, TV, SET TOP BOX etc. Lags within the first 5 days. Even hanged for a very short while! 3000 mAh battery backup but no quick charging! Takes almost 3 hours to charge 20% to 100%. Comes with a protective screen which one has to remove immediately as phone features are printed on it. What's the use of such printings after one has already bought it!? And what's the use of such protective screen!? Don't like MIUI. As usual no earphone. As usual small cable. As usual no gorilla glass. As usual no waterproof coating or anything. Overall experience is very bad. Already thinking about purchasing a new phone. The exchanged 2 years old Moto G4 play was far far better in every aspect.",13 Nov 2018,Definitely a NO.,1.0 ,Palash Kumar Saha
Vary good phone mi best product,05 Oct 2018,Nice product Nice mobile,5.0 ,Pooja rathor
"I haven't checked sim 2 after delivery, after few days when I insert sim 2 this was not detected, I visited service centre he said this phone having this issue and need to change PC main board but part is not available. Every alternate days I am calling/visited but answer is same. I am very disappointed that Amazon providing this kind of bad products",28 Dec 2018,SIM 2 is not working,1.0 ,Sushant Shome
"Using it from 1 year , its so good , still its in working condition no issue till now . Mi Fan",13 May 2019,Go for it,4.0 ,K@m@l
"Don't buy this product. It is not recognizing the second Sim. Its a different and a saperate slot for 2nd sim unlike the other phones and the phone is not recognizing the 2nd slot. It's better if both the SIM cards are placed in single slot. Battery backup is very low, you will need to charge twice daily.",08 Oct 2018,Don't buy - 2nd Sim slot problem and battery problem. Go for other mobiles.,1.0 ,santosh
After using it for 2days Pros 1.Latest trend 18:9 display 2.Light weight 3.Awesome selfie camera with AI portrait 4.Average rear camera 5. No heating during charging or use 6.Face unlock works fast 7.OTA update for MIUI 10 which is very User friendly 8.Netal body in this price range 9.Sound is loud and clear Cons .No finger print sensor It's nice phone in this price range,16 Oct 2018,Best buy,4.0 ,SAI LAJSHMI
Phone is not working,20 Oct 2018,Not wark,1.0 ,Devendra raj
The cameras both front and rear are a huge disappointment as compared to redmi 4 and redmi 5a. I fail to understand how they could deteriorate it from previous phones. Portrait mode doesn't work properly either. I don't expect the camera of S8 or iPhone in 6000 but other phones in the same price range certainly have better to offer. Other features work well but I was really let down with the camera this time.,13 Oct 2018,Extremely poor camera.,3.0 ,Amazon customer
"It's a very good choice on a small budget. I tell You Why... Screen - IPS Screen with HD+ (720*1440) Display , It looks very Nice Easy to read in Day Light. Note - Mobile screen has round shape (but screen shot has corners , IDK how) Battery - I have submitted screen shots about battery uses (It is without sim card) It took 19 hours, from 100 percent to 81 percent (with screen on 33 minutes and with no sim card) So in my opinion battery is decent enough for a day use Camera - I have submitted the photo sample . You can check in ti photos . these photos are taken in day light camera is good for day light shooting. Sound Sound quality is good, in Speaker as well as in earphone (Earphone is not provided with handset) Phone speaker is loud enough to fill a room OS and UI Comes with android version 8.1 😊 UI is Great , Easy to understand. It comes with some unnecessary pre-loaded apps which can be deleted (but not the MI apps) Network Calling I have used it in whatsapp calling only and the voice clarity was good, no issue. I will update my review after 1-2 weeks of use . Recommended ? Yes, Best smart phone according to the budget.",13 Oct 2018,A budget Smart Phone ❤,5.0 ,Jitendra
"Redmi 6A not good as 5999 mrp veri slow working Totally waste of money product. Screen quality very poor, battery no good",26 Oct 2018,Redmi Barnd,3.0 ,Amazon Customer
"The features on offer are overwhelming and best in class for the price.Purchased this phone for my mom and she is very happy. Here are some (cons) that might put you off from buying this phone: 1.No display protection like gorilla glass. 2.Comes with hybrid SIM slot. So you can’t use both SIM cards and microSD card at the same time. 3.Fingerprint & Gyro sensors are missing. 4.No 4000mah battery, it's 3000 mah this time.",10 Nov 2018,Best smartphone for ₹6000,5.0 ,Midhun
Phone is very slow & hanging also. Failed in mi model. Pls don't buy it. Go to another model.,07 Oct 2018,Poor performance and hanging.,1.0 ,Amazon Customer
"Redmi's value for money phone. Worth 5999 easily. Few weeks of usage so far. decent battery life. And stable phone. 2 GB ram not so much of a let down. But I don't play games on this phone. Youtube, Prime video plays fine too. Only down is no screen guard. and lots of redmi bloatware, but can be uninstalled so it works out. Couldn't ask for more in that price range.",05 Nov 2018,Value for money phone,5.0 ,Amazon Customer
Worst phone. Hangs a lot. Very slow and sluggish compared to realme c1 and redmi 5a or even redmi 2 prime! Photo quality also worst front facing camera. Processor is very far behind in real life usage compared to snapdragon 450 in realme c1. Can't play pubg even in low quality as it hangs. Display is also not so large compared to realme c1. Please by honor or realme c1 or asus zenfone max pro m1 instead of this. They said after I purchased that I cannot return product for phones. So got my money wasted so please don't purchase. Display is also poor when watching video at start then recovers slowly. In general not a worthy phone at all by Xiaomi! It has become money minded.,07 Nov 2018,Worst Phone in this price range in this competitive world.,1.0 ,Virusrag
